"DEIC                                    ","DISCCPAT - DIV. INV.CRIMES C. PATRIMÔNIO","DEIC-6ª DEL.P.I.F.C.L.DINHEIRO"
"DIPOL - DEPTO DE INTELIGENCIA           ","DELEGACIA ELETRONICA                    ","DELEGACIA ELETRONICA          "
"DECAP                                   ","DEL.SEC.2º SUL                          ","36º D.P.  VILA MARIANA        "
"DECAP                                   ","DEL.SEC.7º ITAQUERA                     ","67º D.P. JARDIM ROBRU         "
"DEMACRO                                 ","DEL.SEC.FRANCO DA ROCHA                 ","01º D.P. CAJAMAR              "
"DENARC - DEPTO INV. SOBRE NARCOTICOS    ","DENARC -DEPTO EST PREV REPR NARCOTRÁFICO","05º DELEGACIA DA DISE - DENARC"
"DECAP                                   ","DEL.SEC.3º OESTE                        ","51º D.P.  RIO PEQUENO         "
"DECAP                                   ","DEL.SEC.1º CENTRO                       ","01ª DEL.DEF.MUL. CENTRO       "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.SOROCABA                        ","DEL.POL.ARAÇARIGUAMA          "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","91º D.P. CEASA                "
"DEMACRO                                 ","DEL.SEC.GUARULHOS                       ","DEL.POL.ARUJA                 "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","DEL.POL.PIRAPORA DO BOM JESUS "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","33º D.P.  PIRITUBA            "
"DEINTER 1 - SAO JOSE DOS CAMPOS         ","DEL.SEC.TAUBATÉ                         ","DEL.POL.TREMEMBE              "
"DECAP                                   ","DEL.SEC.8º SAO MATEUS                   ","44º D.P.  GUAIANAZES          "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","40º D.P.  VILA STA MARIA      "
"DEMACRO                                 ","DEL.SEC.GUARULHOS                       ","05º D.P. GUARULHOS            "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","01º D.P. CARAPICUIBA          "
"DIRD - DEPTO IDENT.REG.DIV              ","DIV.POL.PORTO/AERO/PROT.TURIS-DECADE    ","03º D.P. AEROP/TUR-GUARULHOS  "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","72º D.P. VILA PENTEADO        "
"DEMACRO                                 ","DEL.SEC.OSASCO                          ","DEL.INV.M.AMB.OSASCO          "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","23º D.P.  PERDIZES            "
"DEINTER 3 - RIBEIRAO PRETO              ","DEL.SEC.SAO CARLOS                      ","DEL.POL.DOURADO               "
"PRODESP                                 ","POLICIA MILITAR                         ","POLICIA MILITAR               "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","01º D.P. BARUERI              "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","DEL.POL.SANTANA DE PARNAIBA   "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","90º D.P. PQ. NOVO MUNDO       "
"DECAP                                   ","DEL.SEC.4º NORTE                        ","19º D.P.  VILA MARIA          "
"DEMACRO                                 ","DEL.SEC.S.BERNARDO DO CAMPO             ","DEL.POL.S.CAETANO DO SUL      "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","89º D.P. JARDIM TABOAO        "
"DEINTER 4 - BAURU                       ","DEL.SEC.ASSIS                           ","DEL.POL.CÂNDIDO MOTA          "
